symbol,baseAsset,quoteAsset,status
MANABTC,MANA,BTC,TRADING
MANAETH,MANA,ETH,TRADING
BCDBTC,BCD,BTC,BREAK
BCDETH,BCD,ETH,BREAK
DGDBTC,DGD,BTC,BREAK
DGDETH,DGD,ETH,BREAK
IOTABNB,IOTA,BNB,TRADING
ADXBTC,ADX,BTC,TRADING
ADXETH,ADX,ETH,TRADING
ADXBNB,ADX,BNB,BREAK
ADABTC,ADA,BTC,TRADING
ADAETH,ADA,ETH,TRADING
PPTBTC,PPT,BTC,BREAK
PPTETH,PPT,ETH,BREAK
CMTBTC,CMT,BTC,BREAK
CMTETH,CMT,ETH,BREAK
CMTBNB,CMT,BNB,BREAK
XLMBTC,XLM,BTC,TRADING
XLMETH,XLM,ETH,TRADING
XLMBNB,XLM,BNB,TRADING
CNDBTC,CND,BTC,BREAK
CNDETH,CND,ETH,BREAK
CNDBNB,CND,BNB,BREAK
LENDBTC,LEND,BTC,BREAK
LENDETH,LEND,ETH,BREAK
WABIBTC,WABI,BTC,TRADING
WABIETH,WABI,ETH,BREAK
WABIBNB,WABI,BNB,BREAK
LTCETH,LTC,ETH,TRADING
LTCUSDT,LTC,USDT,TRADING
LTCBNB,LTC,BNB,TRADING
TNBBTC,TNB,BTC,BREAK
TNBETH,TNB,ETH,BREAK
WAVESBTC,WAVES,BTC,TRADING
WAVESETH,WAVES,ETH,TRADING
WAVESBNB,WAVES,BNB,TRADING
GTOBTC,GTO,BTC,BREAK
GTOETH,GTO,ETH,BREAK
GTOBNB,GTO,BNB,BREAK
ICXBTC,ICX,BTC,TRADING
ICXETH,ICX,ETH,TRADING
ICXBNB,ICX,BNB,BREAK
OSTBTC,OST,BTC,BREAK
OSTETH,OST,ETH,BREAK
OSTBNB,OST,BNB,BREAK
ELFBTC,ELF,BTC,TRADING
ELFETH,ELF,ETH,TRADING
AIONBTC,AION,BTC,TRADING
AIONETH,AION,ETH,BREAK
AIONBNB,AION,BNB,BREAK
NEBLBTC,NEBL,BTC,TRADING
NEBLBNB,NEBL,BNB,BREAK
BRDBTC,BRD,BTC,BREAK
BRDETH,BRD,ETH,BREAK
BRDBNB,BRD,BNB,BREAK
MCOBNB,MCO,BNB,BREAK
EDOBTC,EDO,BTC,BREAK
EDOETH,EDO,ETH,BREAK
WINGSBTC,WINGS,BTC,BREAK
WINGSETH,WINGS,ETH,BREAK
NAVBTC,NAV,BTC,BREAK
NAVETH,NAV,ETH,BREAK
NAVBNB,NAV,BNB,BREAK
LUNBTC,LUN,BTC,BREAK
LUNETH,LUN,ETH,BREAK
TRIGBTC,TRIG,BTC,BREAK
TRIGETH,TRIG,ETH,BREAK
TRIGBNB,TRIG,BNB,BREAK
APPCBTC,APPC,BTC,BREAK
APPCETH,APPC,ETH,BREAK
APPCBNB,APPC,BNB,BREAK
VIBEBTC,VIBE,BTC,BREAK
VIBEETH,VIBE,ETH,BREAK
RLCBTC,RLC,BTC,TRADING
RLCETH,RLC,ETH,TRADING
RLCBNB,RLC,BNB,BREAK
INSBTC,INS,BTC,BREAK
INSETH,INS,ETH,BREAK
PIVXBTC,PIVX,BTC,TRADING
PIVXBNB,PIVX,BNB,BREAK
IOSTBTC,IOST,BTC,TRADING
IOSTETH,IOST,ETH,TRADING
CHATBTC,CHAT,BTC,BREAK
CHATETH,CHAT,ETH,BREAK
STEEMBTC,STEEM,BTC,TRADING
STEEMETH,STEEM,ETH,TRADING
STEEMBNB,STEEM,BNB,BREAK
NANOBTC,NANO,BTC,BREAK
NANOETH,NANO,ETH,BREAK
NANOBNB,NANO,BNB,BREAK
VIABTC,VIA,BTC,BREAK
